CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11013,MR.,IAN,JENKINS,1968-08-06,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11017,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11019,MR.,LUKE,LAL,1978-03-07,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11026,MR.,HAROLD,SAI,1946-04-03,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,1946-12-07,M,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,1946-04-11,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
11032,MRS.,DENISE,STONE,1947-06-11,M,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N
11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y
11041,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y
11049,MS.,CAROL,RAI,1980-07-18,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y
11051,MR.,DANIEL,JOHNSON,1951-08-04,S,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N
11055,MR.,GILBERT,RAJE,1952-03-05,M,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,1954-04-01,S,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y
11064,MR.,CHASE,REED,1975-12-07,M,M,chase21@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11066,MS.,GRACE,BUTLER,1973-11-27,M,F,grace62@adventure-works.com,"$70,000 ",0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,1976-09-25,S,M,caleb40@adventure-works.com,"$60,000 ",0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,1955-09-23,S,F,tiffany17@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y
11073,MRS.,AMY,YE,1956-08-14,S,F,amy16@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,1956-08-28,S,M,levi6@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y
11080,MR.,DAMIEN,CHANDER,1959-07-17,M,M,damien32@adventure-works.com,"$170,000 ",0,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,1966-07-24,M,F,savannah39@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y
11083,MS.,ALYSSA,COX,1966-03-15,M,F,alyssa37@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,Y
11085,MRS.,EMILY,JOHNSON,1957-07-19,S,F,emily1@adventure-works.com,"$60,000 ",2,High School,Professional,N
11089,MRS.,ABIGAIL,PRICE,1957-02-05,S,F,abigail25@adventure-works.com,"$80,000 ",2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,1957-12-17,S,M,trevor18@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,1957-04-04,M,M,dalton37@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,1967-05-06,M,F,cheryl4@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11096,MR.,ANDR�S,ANAND,1962-08-10,M,M,andr�s18@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,1961-10-27,M,M,edwin39@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,1961-05-01,S,F,mallory7@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,1961-03-08,M,M,adam2@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y
11101,MS.,ABBY,SAI,1965-05-08,S,F,abby4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11103,MS.,CASSIE,CHANDE,1964-10-17,S,F,cassie13@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11105,MS.,CANDACE,FERNANDEZ,1964-12-28,S,F,candace15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,1959-09-09,M,F,bianca7@adventure-works.com,"$90,000 ",1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,1963-07-14,S,F,kari25@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11111,MRS.,MEREDITH,GUTIERREZ,1962-02-23,M,F,meredith34@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,1962-09-09,M,F,crystal3@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,1962-02-21,M,M,micheal11@adventure-works.com,"$70,000 ",5,Bachelors,Professional,Y
11124,MR.,ROSS,JORDAN,1957-07-27,S,M,ross1@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,NAVARRO,1956-04-08,S,F,dana2@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y
11127,MS.,JAN,EDWARDS,1975-10-21,M,F,jan11@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,1980-03-12,M,F,amanda7@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,1980-09-08,S,F,angela23@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N
11138,MS.,LAUREN,DAVIS,1978-09-15,M,F,lauren23@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11141,MS.,NICOLE,RAMIREZ,1977-06-21,M,F,nicole42@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,1977-08-14,S,M,eduardo55@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11144,MR.,EDWARD,HERNANDEZ,1979-09-09,S,M,edward48@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N
11147,MR.,ERNEST,WU,1939-02-05,M,M,ernest6@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,Y
11150,MR.,RUSSELL,SHEN,1941-03-15,S,M,russell6@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y
